WBGeneID,Sequence.name,tissue
WBGene00000004,aat-3,ubiquitous
WBGene00000007,aat-6,intestine
WBGene00000008,aat-7,intestine
WBGene00000016,abf-5,nervous-system
WBGene00000028,abu-5,muscular-system
WBGene00000029,abu-6,muscular-system
WBGene00000031,abu-8,intestine
WBGene00000041,aco-2,ubiquitous
WBGene00000043,acr-3,nervous-system
WBGene00000044,acr-5,nervous-system
WBGene00000045,acr-6,nervous-system
WBGene00000046,acr-7,muscular-system
WBGene00000049,acr-10,nervous-system
WBGene00000051,acr-12,nervous-system
WBGene00000056,acr-17,nervous-system
WBGene00000058,acr-19,nervous-system
WBGene00000059,acr-20,nervous-system
WBGene00000061,lgc-11,nervous-system
WBGene00000063,act-1,ubiquitous
WBGene00000064,act-2,ubiquitous
WBGene00000065,act-3,ubiquitous
WBGene00000066,act-4,ubiquitous
WBGene00000067,act-5,ubiquitous
WBGene00000071,acy-4,nervous-system
WBGene00000073,add-2,ubiquitous
WBGene00000080,adr-2,ubiquitous
WBGene00000097,aip-1,ubiquitous
WBGene00000098,air-1,ubiquitous
WBGene00000101,aka-1,ubiquitous
WBGene00000105,alg-1,ubiquitous
WBGene00000106,alg-2,ubiquitous
WBGene00000107,alh-1,ubiquitous
WBGene00000109,alh-3,ubiquitous
WBGene00000110,alh-4,ubiquitous
WBGene00000112,alh-6,ubiquitous
WBGene00000114,alh-8,ubiquitous
WBGene00000115,alh-9,ubiquitous
WBGene00000121,aly-2,ubiquitous
WBGene00000122,aly-3,ubiquitous
WBGene00000123,ama-1,ubiquitous
WBGene00000134,amt-2,nervous-system
WBGene00000140,anc-1,ubiquitous
WBGene00000143,apc-2,reproductive-system
WBGene00000145,apc-11,ubiquitous
WBGene00000146,ape-1,ubiquitous
WBGene00000147,aph-1,ubiquitous
WBGene00000148,aph-2,ubiquitous
WBGene00000150,apm-1,ubiquitous
WBGene00000151,apn-1,ubiquitous
WBGene00000157,aps-2,ubiquitous
WBGene00000160,apb-1,ubiquitous
WBGene00000161,apa-2,ubiquitous
WBGene00000163,apb-3,ubiquitous
WBGene00000165,aps-3,ubiquitous
WBGene00000174,aqp-6,nervous-system
WBGene00000179,aqp-11,ubiquitous
WBGene00000180,arc-1,nervous-system
WBGene00000181,ard-1,ubiquitous
WBGene00000182,arf-1,ubiquitous
WBGene00000183,arf-5,ubiquitous
WBGene00000188,arl-3,nervous-system
WBGene00000189,arl-5,ubiquitous
WBGene00000192,arl-8,ubiquitous
WBGene00000193,arl-6,nervous-system
WBGene00000197,aars-2,ubiquitous
WBGene00000198,art-1,ubiquitous
WBGene00000199,arx-1,ubiquitous
WBGene00000200,arx-2,ubiquitous
WBGene00000201,arx-3,ubiquitous
WBGene00000203,arx-5,ubiquitous
WBGene00000204,arx-6,ubiquitous
WBGene00000205,arx-7,ubiquitous
WBGene00000206,asb-1,ubiquitous
WBGene00000207,asb-2,ubiquitous
WBGene00000208,trip-4,ubiquitous
WBGene00000213,asm-3,intestine
WBGene00000214,asp-1,ubiquitous
WBGene00000216,asp-3,ubiquitous
WBGene00000223,atf-7,ubiquitous
WBGene00000229,atp-2,ubiquitous
WBGene00000230,atp-3,ubiquitous
WBGene00000231,atx-2,ubiquitous
WBGene00000235,baf-1,ubiquitous
WBGene00000236,bag-1,ubiquitous
WBGene00000247,bec-1,ubiquitous
WBGene00000248,ben-1,ubiquitous
WBGene00000249,bir-1,ubiquitous
WBGene00000250,bir-2,ubiquitous
WBGene00000253,bli-3,epithelial-system
WBGene00000254,bli-4,ubiquitous
WBGene00000257,bmk-1,ubiquitous
WBGene00000263,F23H11.5,ubiquitous
WBGene00000264,brc-1,reproductive-system
WBGene00000265,brd-1,ubiquitous
WBGene00000266,bre-1,ubiquitous
WBGene00000269,bre-4,reproductive-system
WBGene00000275,bub-1,ubiquitous
WBGene00000276,byn-1,ubiquitous
WBGene00000287,cal-3,nervous-system
WBGene00000289,cam-1,ubiquitous
WBGene00000292,cap-1,ubiquitous
WBGene00000293,cap-2,ubiquitous
WBGene00000294,cas-1,ubiquitous
WBGene00000369,ccf-1,ubiquitous
WBGene00000371,cox-5B,ubiquitous
WBGene00000372,cyp-13A7,intestine
WBGene00000375,cyp-44A1,intestine
WBGene00000377,cct-1,ubiquitous
WBGene00000378,cct-2,ubiquitous
WBGene00000379,cct-4,ubiquitous
WBGene00000380,cct-5,ubiquitous
WBGene00000381,cct-6,ubiquitous
WBGene00000383,cdc-14,ubiquitous
WBGene00000386,cdc-25.1,ubiquitous
WBGene00000390,cdc-42,ubiquitous
WBGene00000397,cdh-5,intestine
WBGene00000399,cdh-7,nervous-system
WBGene00000401,cdh-9,ubiquitous
WBGene00000408,cdk-7,ubiquitous
WBGene00000409,cdk-8,ubiquitous
WBGene00000411,cdl-1,reproductive-system
WBGene00000415,ced-1,ubiquitous
WBGene00000416,ced-2,ubiquitous
WBGene00000418,ced-4,ubiquitous
WBGene00000421,ced-7,ubiquitous
WBGene00000423,ced-9,reproductive-system
WBGene00000426,ced-12,ubiquitous
WBGene00000432,ceh-7,nervous-system
WBGene00000448,pros-1,ubiquitous
WBGene00000452,ceh-31,nervous-system
WBGene00000453,ceh-32,ubiquitous
WBGene00000457,ceh-36,nervous-system
WBGene00000462,ceh-41,ubiquitous
WBGene00000464,ceh-44,ubiquitous
WBGene00000466,cel-1,ubiquitous
WBGene00000468,ces-1,nervous-system
WBGene00000472,cey-1,ubiquitous
WBGene00000479,cgh-1,ubiquitous
WBGene00000480,cgp-1,ubiquitous
WBGene00000481,cha-1,nervous-system
WBGene00000484,che-2,nervous-system
WBGene00000487,che-6,nervous-system
WBGene00000491,che-12,nervous-system
WBGene00000498,chk-1,reproductive-system
WBGene00000499,chk-2,reproductive-system
WBGene00000500,chn-1,ubiquitous
WBGene00000502,chp-1,ubiquitous
WBGene00000503,cht-1,ubiquitous
WBGene00000506,cic-1,ubiquitous
WBGene00000508,cit-1.2,ubiquitous
WBGene00000509,cka-1,ubiquitous
WBGene00000514,ckb-4,nervous-system
WBGene00000516,cki-1,ubiquitous
WBGene00000521,cky-1,nervous-system
WBGene00000532,clh-5,ubiquitous
WBGene00000534,cpi-2,ubiquitous
WBGene00000535,cpi-1,ubiquitous
WBGene00000536,clk-1,ubiquitous
WBGene00000542,clp-1,ubiquitous
WBGene00000545,clp-4,ubiquitous
WBGene00000547,clp-7,ubiquitous
WBGene00000549,cls-2,ubiquitous
WBGene00000550,clu-1,ubiquitous
WBGene00000561,cnd-1,nervous-system
WBGene00000562,cng-1,nervous-system
WBGene00000565,cnt-1,ubiquitous
WBGene00000566,cnt-2,ubiquitous
WBGene00000567,cnx-1,ubiquitous
WBGene00000585,cogc-2,ubiquitous
WBGene00000591,coh-1,ubiquitous
WBGene00000593,col-2,nervous-system
WBGene00000594,col-3,intestine
WBGene00000596,col-7,epithelial-system
WBGene00000613,col-36,nervous-system
WBGene00000623,col-46,intestine
WBGene00000624,col-47,epithelial-system
WBGene00000625,col-48,nervous-system
WBGene00000628,col-51,epithelial-system
WBGene00000629,col-52,muscular-system
WBGene00000630,col-53,nervous-system
WBGene00000632,col-55,nervous-system
WBGene00000636,col-60,nervous-system
WBGene00000640,col-64,nervous-system
WBGene00000644,col-68,nervous-system
WBGene00000651,col-75,muscular-system
WBGene00000656,col-80,reproductive-system
WBGene00000657,col-81,reproductive-system
WBGene00000658,col-83,intestine
WBGene00000661,col-86,intestine
WBGene00000662,col-87,nervous-system
WBGene00000663,col-88,nervous-system
WBGene00000666,col-91,epithelial-system
WBGene00000667,col-92,epithelial-system
WBGene00000668,col-93,epithelial-system
WBGene00000676,col-102,nervous-system
WBGene00000682,col-108,nervous-system
WBGene00000684,col-110,nervous-system
WBGene00000685,col-111,nervous-system
WBGene00000693,col-119,reproductive-system
WBGene00000699,col-125,intestine
WBGene00000700,col-126,epithelial-system
WBGene00000701,col-127,epithelial-system
WBGene00000705,col-131,nervous-system
WBGene00000712,col-139,epithelial-system
WBGene00000714,col-141,epithelial-system
WBGene00000717,col-144,epithelial-system
WBGene00000722,col-149,epithelial-system
WBGene00000723,col-150,epithelial-system
WBGene00000726,col-153,intestine
WBGene00000728,col-155,muscular-system
WBGene00000731,col-158,nervous-system
WBGene00000732,col-159,nervous-system
WBGene00000734,col-161,nervous-system
WBGene00000736,col-163,nervous-system
WBGene00000737,col-164,nervous-system
WBGene00000739,col-166,nervous-system
WBGene00000740,col-167,intestine
WBGene00000741,col-168,intestine
WBGene00000745,col-172,nervous-system
WBGene00000747,col-174,nervous-system
WBGene00000752,col-179,epithelial-system
WBGene00000757,col-184,epithelial-system
WBGene00000758,col-185,nervous-system
WBGene00000759,col-186,nervous-system
WBGene00000762,coq-2,ubiquitous
WBGene00000763,coq-3,ubiquitous
WBGene00000764,coq-4,ubiquitous
WBGene00000766,coq-6,ubiquitous
WBGene00000767,coq-8,ubiquitous
WBGene00000771,cpb-2,reproductive-system
WBGene00000773,cpf-1,ubiquitous
WBGene00000776,cpl-1,ubiquitous
WBGene00000777,cpn-1,ubiquitous
WBGene00000778,cpn-2,ubiquitous
WBGene00000787,cps-6,ubiquitous
WBGene00000788,cpz-1,ubiquitous
WBGene00000796,crn-3,ubiquitous
WBGene00000797,crn-4,reproductive-system
WBGene00000798,crn-5,ubiquitous
WBGene00000800,cars-1,ubiquitous
WBGene00000802,crt-1,ubiquitous
WBGene00000804,csc-1,ubiquitous
WBGene00000812,csk-1,ubiquitous
WBGene00000814,csn-2,ubiquitous
WBGene00000815,csn-3,ubiquitous
WBGene00000817,csn-5,ubiquitous
WBGene00000818,csn-6,ubiquitous
WBGene00000820,csp-2,reproductive-system
WBGene00000821,csp-3,reproductive-system
WBGene00000822,csq-1,ubiquitous
WBGene00000833,cts-1,ubiquitous
WBGene00000834,cua-1,ubiquitous
WBGene00000836,cul-1,ubiquitous
WBGene00000837,cul-2,ubiquitous
WBGene00000843,cup-2,ubiquitous
WBGene00000846,cup-5,ubiquitous
WBGene00000859,cwp-1,nervous-system
WBGene00000860,cwp-2,nervous-system
WBGene00000861,cwp-3,nervous-system
WBGene00000863,cya-1,ubiquitous
WBGene00000865,cyb-1,ubiquitous
WBGene00000868,cyb-3,ubiquitous
WBGene00000869,cyc-1,ubiquitous
WBGene00000870,cyd-1,ubiquitous
WBGene00000872,cyk-1,ubiquitous
WBGene00000874,cyk-3,ubiquitous
WBGene00000875,cyk-4,ubiquitous
WBGene00000876,cyl-1,ubiquitous
WBGene00000877,cyn-1,ubiquitous
WBGene00000879,cyn-3,ubiquitous
WBGene00000881,cyn-5,ubiquitous
WBGene00000883,cyn-7,ubiquitous
WBGene00000886,cyn-10,ubiquitous
WBGene00000887,cyn-11,ubiquitous
WBGene00000888,cyn-12,ubiquitous
WBGene00000889,cyn-13,ubiquitous
WBGene00000891,cyn-15,reproductive-system
WBGene00000894,dab-1,ubiquitous
WBGene00000896,dad-1,ubiquitous
WBGene00000900,daf-4,ubiquitous
WBGene00000907,daf-11,nervous-system
WBGene00000911,daf-15,ubiquitous
WBGene00000915,hsp-90,ubiquitous
WBGene00000917,daf-25,ubiquitous
WBGene00000923,daf-31,ubiquitous
WBGene00000929,dao-3,ubiquitous
WBGene00000931,dao-5,ubiquitous
WBGene00000933,dap-3,ubiquitous
WBGene00000934,dat-1,nervous-system
WBGene00000937,dbr-1,reproductive-system
WBGene00000940,dcs-1,ubiquitous
WBGene00000941,ddp-1,ubiquitous
WBGene00000958,dgk-1,ubiquitous
WBGene00000959,dgk-2,ubiquitous
WBGene00000961,dgn-1,ubiquitous
WBGene00000962,dhc-1,ubiquitous
WBGene00000965,dhs-1,ubiquitous
WBGene00000970,dhs-6,reproductive-system
WBGene00000971,dhs-7,intestine
WBGene00000972,dhs-8,nervous-system
WBGene00000975,dhs-12,ubiquitous
WBGene00000976,dhs-13,ubiquitous
WBGene00000982,dhs-19,ubiquitous
WBGene00000985,dhs-22,ubiquitous
WBGene00000991,dhs-28,ubiquitous
WBGene00000995,die-1,ubiquitous
WBGene00000996,dif-1,ubiquitous
WBGene00001005,dlc-1,ubiquitous
WBGene00001007,dli-1,ubiquitous
WBGene00001017,dnc-1,ubiquitous
WBGene00001018,dnc-2,ubiquitous
WBGene00001019,dnj-1,ubiquitous
WBGene00001020,dnj-2,ubiquitous
WBGene00001026,dnj-8,ubiquitous
WBGene00001027,dnj-9,ubiquitous
WBGene00001029,dnj-11,ubiquitous
WBGene00001030,dnj-12,ubiquitous
WBGene00001031,dnj-13,ubiquitous
WBGene00001034,dnj-16,ubiquitous
WBGene00001037,dnj-19,ubiquitous
WBGene00001039,dnj-21,ubiquitous
WBGene00001047,dnj-29,ubiquitous
WBGene00001056,dpf-3,ubiquitous
WBGene00001058,dpf-5,ubiquitous
WBGene00001060,dpf-7,ubiquitous
WBGene00001063,dpy-1,epithelial-system
WBGene00001068,dpy-6,nervous-system
WBGene00001073,dpy-11,ubiquitous
WBGene00001082,dpy-23,ubiquitous
WBGene00001085,dpy-26,ubiquitous
WBGene00001087,dpy-28,reproductive-system
WBGene00001088,dpy-30,ubiquitous
WBGene00001093,drp-1,ubiquitous
WBGene00001094,dars-1,ubiquitous
WBGene00001101,dsh-1,ubiquitous
WBGene00001106,dsl-4,coelomic-system
WBGene00001107,dsl-5,reproductive-system
WBGene00001112,duo-3,reproductive-system
WBGene00001115,dyb-1,ubiquitous
WBGene00001117,dyf-1,nervous-system
WBGene00001129,dyf-13,nervous-system
WBGene00001131,dys-1,ubiquitous
WBGene00001133,eat-2,muscular-system
WBGene00001134,eat-3,ubiquitous
WBGene00001154,ech-5,reproductive-system
WBGene00001155,ech-6,ubiquitous
WBGene00001160,efk-1,ubiquitous
WBGene00001166,eftu-2,ubiquitous
WBGene00001167,eef-2,ubiquitous
WBGene00001169,eef-1A.2,ubiquitous
WBGene00001172,egl-3,ubiquitous
WBGene00001186,egl-18,ubiquitous
WBGene00001193,egl-26,ubiquitous
WBGene00001196,egl-30,ubiquitous
WBGene00001208,egl-44,ubiquitous
WBGene00001209,egl-45,ubiquitous
WBGene00001214,ego-1,reproductive-system
WBGene00001225,eif-3.B,ubiquitous
WBGene00001226,eif-3.C,ubiquitous
WBGene00001227,eif-3.D,ubiquitous
WBGene00001228,eif-3.E,ubiquitous
WBGene00001229,eif-3.F,ubiquitous
WBGene00001230,eif-3.G,ubiquitous
WBGene00001231,eif-3.H,ubiquitous
WBGene00001234,eif-6,ubiquitous
WBGene00001237,elc-2,nervous-system
WBGene00001240,elo-2,ubiquitous
WBGene00001244,elo-6,ubiquitous
WBGene00001246,elo-8,nervous-system
WBGene00001258,emb-4,ubiquitous
WBGene00001259,emb-5,ubiquitous
WBGene00001262,emb-8,ubiquitous
WBGene00001303,sec-61.G,ubiquitous
WBGene00001329,epn-1,ubiquitous
WBGene00001330,eps-8,ubiquitous
WBGene00001331,erd-2.1,ubiquitous
WBGene00001333,erm-1,ubiquitous
WBGene00001334,ero-1,ubiquitous
WBGene00001335,F35A5.8,ubiquitous
WBGene00001336,qars-1,ubiquitous
WBGene00001337,ears-1,ubiquitous
WBGene00001338,ears-2,ubiquitous
WBGene00001340,etr-1,ubiquitous
WBGene00001371,exl-1,ubiquitous
WBGene00001377,eya-1,ubiquitous
WBGene00001385,far-1,ubiquitous
WBGene00001393,fat-1,ubiquitous
WBGene00001396,fat-4,ubiquitous
WBGene00001399,fat-7,intestine
WBGene00001402,fbf-2,reproductive-system
WBGene00001404,fbp-1,ubiquitous
WBGene00001405,fce-1,ubiquitous
WBGene00001406,fce-2,ubiquitous
WBGene00001411,fem-1,ubiquitous
WBGene00001412,fem-2,reproductive-system
WBGene00001414,fer-1,reproductive-system
WBGene00001423,fib-1,ubiquitous
WBGene00001425,fis-2,ubiquitous
WBGene00001426,fkb-1,ubiquitous
WBGene00001437,fkh-5,nervous-system
WBGene00001439,fkh-7,ubiquitous
WBGene00001444,flp-1,ubiquitous
WBGene00001450,flp-7,nervous-system
WBGene00001451,flp-8,nervous-system
WBGene00001455,flp-12,nervous-system
WBGene00001457,flp-14,nervous-system
WBGene00001460,flp-17,nervous-system
WBGene00001465,flr-1,intestine
WBGene00001466,flr-2,nervous-system
WBGene00001483,fog-3,reproductive-system
WBGene00001485,fre-1,ubiquitous
WBGene00001488,frm-1,ubiquitous
WBGene00001491,frm-4,ubiquitous
WBGene00001496,frm-10,ubiquitous
WBGene00001497,fars-1,ubiquitous
WBGene00001498,fars-3,ubiquitous
WBGene00001499,fsn-1,ubiquitous
WBGene00001501,ftn-2,ubiquitous
WBGene00001502,ftt-2,ubiquitous
WBGene00001503,fum-1,ubiquitous
WBGene00001510,fzr-1,ubiquitous
WBGene00001511,fzy-1,ubiquitous
WBGene00001513,gad-1,ubiquitous
WBGene00001515,gap-1,nervous-system
WBGene00001517,gar-1,nervous-system
WBGene00001520,gas-1,ubiquitous
WBGene00001522,gbh-1,ubiquitous
WBGene00001527,gcs-1,ubiquitous
WBGene00001530,gcy-3,nervous-system
WBGene00001531,gcy-4,nervous-system
WBGene00001532,gcy-5,nervous-system
WBGene00001534,gcy-7,nervous-system
WBGene00001535,gcy-8,nervous-system
WBGene00001536,gcy-9,nervous-system
WBGene00001540,gcy-14,nervous-system
WBGene00001541,gcy-15,nervous-system
WBGene00001542,gcy-17,nervous-system
WBGene00001546,gcy-21,nervous-system
WBGene00001547,gcy-22,nervous-system
WBGene00001548,gcy-23,nervous-system
WBGene00001549,gcy-25,nervous-system
WBGene00001552,gcy-32,nervous-system
WBGene00001554,gcy-34,nervous-system
WBGene00001556,gcy-36,nervous-system
WBGene00001557,gcy-37,nervous-system
WBGene00001558,gdi-1,ubiquitous
WBGene00001561,gei-4,ubiquitous
WBGene00001562,lin-66,ubiquitous
WBGene00001563,gei-6,ubiquitous
WBGene00001568,snpc-4,ubiquitous
WBGene00001572,gei-15,ubiquitous
WBGene00001574,gei-17,ubiquitous
WBGene00001578,ges-1,ubiquitous
WBGene00001582,gfi-2,ubiquitous
WBGene00001584,nrde-4,ubiquitous
WBGene00001586,lgc-57,nervous-system
WBGene00001588,lgc-56,nervous-system
WBGene00001593,glc-3,nervous-system
WBGene00001602,gln-1,ubiquitous
WBGene00001603,gln-2,reproductive-system
WBGene00001604,gln-3,ubiquitous
WBGene00001612,glr-1,nervous-system
WBGene00001625,glt-7,excretory-system
WBGene00001629,gly-4,ubiquitous
WBGene00001630,gly-5,ubiquitous
WBGene00001631,gly-6,ubiquitous
WBGene00001632,gly-7,ubiquitous
WBGene00001635,gly-10,ubiquitous
WBGene00001645,gly-20,ubiquitous
WBGene00001648,goa-1,ubiquitous
WBGene00001661,gop-2,ubiquitous
WBGene00001662,gop-3,ubiquitous
WBGene00001667,gpa-5,nervous-system
WBGene00001673,gpa-11,nervous-system
WBGene00001675,gpa-13,nervous-system
WBGene00001679,gpb-1,ubiquitous
WBGene00001682,gpc-2,ubiquitous
WBGene00001683,gpd-1,reproductive-system
WBGene00001685,gpd-3,ubiquitous
WBGene00001686,gpd-4,reproductive-system
WBGene00001688,gpr-1,reproductive-system
WBGene00001694,grd-5,ubiquitous
WBGene00001698,grd-9,intestine
WBGene00001700,grd-11,muscular-system
WBGene00001727,grl-18,nervous-system
WBGene00001729,grl-20,nervous-system
WBGene00001730,grl-21,epithelial-system
WBGene00001731,grl-22,epithelial-system
WBGene00001732,grl-23,nervous-system
WBGene00001735,grl-26,epithelial-system
WBGene00001744,gars-1,ubiquitous
WBGene00001747,gsp-1,ubiquitous
WBGene00001749,gst-1,ubiquitous
WBGene00001753,gst-5,ubiquitous
WBGene00001755,gst-7,ubiquitous
WBGene00001760,gst-12,ubiquitous
WBGene00001761,gst-13,ubiquitous
WBGene00001767,gst-19,coelomic-system
WBGene00001768,gst-20,ubiquitous
WBGene00001773,gst-25,nervous-system
WBGene00001779,gst-31,nervous-system
WBGene00001780,gst-32,reproductive-system
WBGene00001788,gst-40,nervous-system
WBGene00001812,haf-2,ubiquitous
WBGene00001813,haf-3,ubiquitous
WBGene00001815,hmt-1,ubiquitous
WBGene00001816,haf-6,ubiquitous
WBGene00001823,hap-1,ubiquitous
WBGene00001829,hcp-1,ubiquitous
WBGene00001830,hcp-2,ubiquitous
WBGene00001831,hcp-3,ubiquitous
WBGene00001833,hcp-6,ubiquitous
WBGene00001834,hda-1,ubiquitous
WBGene00001836,hda-3,ubiquitous
WBGene00001843,hgo-1,ubiquitous
WBGene00001844,hid-1,ubiquitous
WBGene00001853,hil-2,ubiquitous
WBGene00001854,hil-3,ubiquitous
WBGene00001859,hil-8,nervous-system
WBGene00001860,him-1,ubiquitous
WBGene00001869,him-10,reproductive-system
WBGene00001874,him-17,ubiquitous
WBGene00001875,his-1,reproductive-system
WBGene00001879,his-5,reproductive-system
WBGene00001884,his-10,nervous-system
WBGene00001885,his-11,nervous-system
WBGene00001886,his-12,nervous-system
WBGene00001887,his-13,nervous-system
WBGene00001888,his-14,nervous-system
WBGene00001890,his-16,nervous-system
WBGene00001893,his-19,nervous-system
WBGene00001895,his-21,nervous-system
WBGene00001899,his-25,nervous-system
WBGene00001900,his-26,nervous-system
WBGene00001903,his-29,nervous-system
WBGene00001904,his-30,nervous-system
WBGene00001905,his-31,reproductive-system
WBGene00001907,his-33,nervous-system
WBGene00001908,his-34,nervous-system
WBGene00001911,his-37,ubiquitous
WBGene00001912,his-38,reproductive-system
WBGene00001917,his-43,nervous-system
WBGene00001925,his-51,nervous-system
WBGene00001927,his-53,nervous-system
WBGene00001928,his-54,nervous-system
WBGene00001931,his-57,reproductive-system
WBGene00001939,his-65,reproductive-system
WBGene00001943,his-69,epithelial-system
WBGene00001945,his-71,ubiquitous
WBGene00001946,his-72,ubiquitous
WBGene00001947,his-73,nervous-system
WBGene00001949,hlh-2,ubiquitous
WBGene00001951,hlh-4,nervous-system
WBGene00001956,hlh-12,reproductive-system
WBGene00001957,hlh-13,nervous-system
WBGene00001971,hmg-1.1,ubiquitous
WBGene00001972,hmg-1.2,ubiquitous
WBGene00001974,hmg-4,ubiquitous
WBGene00001977,hmg-12,ubiquitous
WBGene00001978,hmp-1,ubiquitous
WBGene00001979,hmp-2,ubiquitous
WBGene00001980,hmr-1,ubiquitous
WBGene00001989,hot-4,nervous-system
WBGene00001994,hpk-1,ubiquitous
WBGene00001996,hpl-2,ubiquitous
WBGene00001999,hrpa-1,ubiquitous
WBGene00002000,hrpr-1,ubiquitous
WBGene00002001,hars-1,ubiquitous
WBGene00002002,hsb-1,ubiquitous
WBGene00002004,hsf-1,ubiquitous
WBGene00002005,hsp-1,ubiquitous
WBGene00002007,hsp-3,ubiquitous
WBGene00002008,hsp-4,ubiquitous
WBGene00002010,hsp-6,ubiquitous
WBGene00002011,hsp-12.2,ubiquitous
WBGene00002018,hsp-16.41,ubiquitous
WBGene00002020,hsp-16.49,ubiquitous
WBGene00002023,hsp-25,ubiquitous
WBGene00002036,hum-2,ubiquitous
WBGene00002043,hyl-1,ubiquitous
WBGene00002044,hyl-2,ubiquitous
WBGene00002045,icd-1,ubiquitous
WBGene00002046,icln-1,ubiquitous
WBGene00002047,icp-1,ubiquitous
WBGene00002060,ife-2,ubiquitous
WBGene00002064,iff-1,ubiquitous
WBGene00002065,iff-2,ubiquitous
WBGene00002068,ify-1,ubiquitous
WBGene00002071,ile-2,muscular-system
WBGene00002072,ima-1,ubiquitous
WBGene00002074,ima-3,ubiquitous
WBGene00002075,imb-1,reproductive-system
WBGene00002076,imb-2,ubiquitous
WBGene00002077,imb-3,ubiquitous
WBGene00002078,xpo-1,ubiquitous
WBGene00002079,xpo-2,ubiquitous
WBGene00002081,ina-1,ubiquitous
WBGene00002083,inf-1,ubiquitous
WBGene00002097,ins-14,nervous-system
WBGene00002107,ins-24,nervous-system
WBGene00002108,ins-25,nervous-system
WBGene00002125,inx-3,ubiquitous
WBGene00002128,inx-6,ubiquitous
WBGene00002133,inx-11,ubiquitous
WBGene00002134,inx-12,ubiquitous
WBGene00002147,ire-1,ubiquitous
WBGene00002148,gon-14,ubiquitous
WBGene00002152,iars-1,ubiquitous
WBGene00002169,isw-1,ubiquitous
WBGene00002191,kin-3,ubiquitous
WBGene00002192,kin-4,ubiquitous
WBGene00002195,kin-9,muscular-system
WBGene00002196,kin-10,ubiquitous
WBGene00002200,kin-16,epithelial-system
WBGene00002202,kin-19,ubiquitous
WBGene00002206,kin-24,reproductive-system
WBGene00002207,sid-3,ubiquitous
WBGene00002219,klp-7,ubiquitous
WBGene00002224,klp-13,nervous-system
WBGene00002226,klp-16,reproductive-system
WBGene00002229,klp-19,reproductive-system
WBGene00002231,knl-1,ubiquitous
WBGene00002238,kars-1,ubiquitous
WBGene00002243,lad-2,nervous-system
WBGene00002244,laf-1,ubiquitous
WBGene00002245,lag-1,ubiquitous
WBGene00002249,lap-1,ubiquitous
WBGene00002251,lat-1,ubiquitous
WBGene00002252,lat-2,excretory-system
WBGene00002253,lbp-1,ubiquitous
WBGene00002255,lbp-3,ubiquitous
WBGene00002258,lbp-6,ubiquitous
WBGene00002261,ldb-1,ubiquitous
WBGene00002275,lem-2,reproductive-system
WBGene00002324,let-49,ubiquitous
WBGene00002335,let-60,ubiquitous
WBGene00002344,let-70,ubiquitous
WBGene00002363,let-92,ubiquitous
WBGene00002497,let-268,ubiquitous
WBGene00002583,let-363,ubiquitous
WBGene00002637,let-418,ubiquitous
WBGene00002696,let-504,ubiquitous
WBGene00002783,let-607,ubiquitous
WBGene00002804,let-630,ubiquitous
WBGene00002845,let-711,ubiquitous
WBGene00002850,let-716,ubiquitous
WBGene00002855,let-721,ubiquitous
WBGene00002957,let-858,ubiquitous
WBGene00002978,lev-11,ubiquitous
WBGene00002979,lfe-2,ubiquitous
WBGene00002980,lgg-1,ubiquitous
WBGene00002981,lgg-2,ubiquitous
WBGene00002983,lgx-1,nervous-system
WBGene00002985,lig-1,ubiquitous
WBGene00002994,lin-5,ubiquitous
WBGene00002997,lin-8,ubiquitous
WBGene00002998,lin-9,ubiquitous
WBGene00003002,lin-13,ubiquitous
WBGene00003009,lin-23,ubiquitous
WBGene00003010,lin-24,ubiquitous
WBGene00003020,lin-35,ubiquitous
WBGene00003021,lin-36,ubiquitous
WBGene00003022,lin-37,ubiquitous
WBGene00003025,lin-40,ubiquitous
WBGene00003036,lin-53,ubiquitous
WBGene00003037,lin-54,ubiquitous
WBGene00003040,lin-59,ubiquitous
WBGene00003043,lip-1,ubiquitous
WBGene00003044,lir-1,ubiquitous
WBGene00003045,lir-2,ubiquitous
WBGene00003047,lis-1,ubiquitous
WBGene00003052,lmn-1,ubiquitous
WBGene00003053,lmp-1,ubiquitous
WBGene00003063,lpd-7,ubiquitous
WBGene00003064,lpd-8,ubiquitous
WBGene00003066,lpl-1,ubiquitous
WBGene00003068,lrk-1,ubiquitous
WBGene00003073,lars-1,ubiquitous
WBGene00003077,lsm-3,ubiquitous
WBGene00003078,lsm-4,ubiquitous
WBGene00003079,lsm-5,ubiquitous
WBGene00003080,lsm-6,ubiquitous
WBGene00003082,lsm-8,reproductive-system
WBGene00003083,lst-1,ubiquitous
WBGene00003084,lst-2,nervous-system
WBGene00003085,ccar-1,ubiquitous
WBGene00003086,lst-4,ubiquitous
WBGene00003087,lsy-2,ubiquitous
WBGene00003098,lys-9,nervous-system
WBGene00003111,mab-20,ubiquitous
WBGene00003123,mag-1,ubiquitous
WBGene00003129,map-1,reproductive-system
WBGene00003130,map-2,ubiquitous
WBGene00003132,mat-1,ubiquitous
WBGene00003133,mat-2,reproductive-system
WBGene00003134,mat-3,ubiquitous
WBGene00003148,mbf-1,ubiquitous
WBGene00003150,mbk-2,ubiquitous
WBGene00003153,mca-3,ubiquitous
WBGene00003155,mcm-3,ubiquitous
WBGene00003156,mcm-4,ubiquitous
WBGene00003157,mcm-5,ubiquitous
